run_id,research_priority,global_theme,driver_id,driver_label,driver_scope,global_theme_strength_v2,global_latest_price_date,global_leaders_evidence,activation_state,activation_confidence,activation_evidence_required,counter_evidence_required,price_cannot_activate_driver,nomination_origin,reverse_nominee_count,reverse_nominees,local_catalyst_check_required,transmission_gap_proxy_max,taiwan_reverse_anomaly_max
20260919T131926+0800-ad2c247a,0.9666666666666667,Cybersecurity,ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,"enterprise security budgets, subscriptions, channel demand",0.9666666666666667,2026-09-18,053800.KQ:PERSISTENT:RS20=0.178; CRWD:PERSISTENT:RS20=0.247; FTNT:PERSISTENT:RS20=0.125; NET:PERSISTENT:RS20=0.159; S:PERSISTENT:RS20=0.074,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 6214.TW|精誠|reaction=PERSISTENT|anomaly=0.885|gap=0.076; 3029.TW|零壹|reaction=PERSISTENT|anomaly=0.964|gap=0.012; 6140.TWO|訊達|reaction=EXTENDED|anomaly=0.983|gap=-0.008",True,GLOBAL_THEME+TAIWAN_REVERSE,3,6214.TW|精誠|reaction=PERSISTENT|anomaly=0.885|gap=0.076; 3029.TW|零壹|reaction=PERSISTENT|anomaly=0.964|gap=0.012; 6140.TWO|訊達|reaction=EXTENDED|anomaly=0.983|gap=-0.008,True,0.0764896499238965,0.9827235772357723
20260919T131926+0800-ad2c247a,0.91749606199187,Foundry,LEADING_EDGE_FOUNDRY_AI_DEMAND,Leading-edge foundry AI/HPC node demand,"leading-edge <=3nm/2nm utilization, AI/HPC wafer demand, advanced-node pricing and capacity; do not infer mature-node recovery",0.7630208333333333,2026-09-18,TSM:NEUTRAL:RS20=0.046; 1347.HK:NEUTRAL:RS20=0.054; GFS:NEUTRAL:RS20=0.009; 0981.HK:WEAKENING:RS20=-0.053,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming leading-edge AI/HPC wafer demand or advanced-node utilization/pricing; distinguish company-specific from industry-wide.,"Search for contradictory advanced-node utilization, AI/HPC wafer demand, pricing, capacity or customer evidence; do not use mature-node recovery as confirmation; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 3443.TW|創意|reaction=PERSISTENT|anomaly=0.988|gap=-0.202; 2330.TW|台積電|reaction=UNKNOWN|anomaly=0.898|gap=0.019; 3529.TWO|力旺|reaction=CONFIRMING|anomaly=0.922|gap=-0.156",True,GLOBAL_THEME+TAIWAN_REVERSE,3,3443.TW|創意|reaction=PERSISTENT|anomaly=0.988|gap=-0.202; 2330.TW|台積電|reaction=UNKNOWN|anomaly=0.898|gap=0.019; 3529.TWO|力旺|reaction=CONFIRMING|anomaly=0.922|gap=-0.156,True,0.018541309931506763,0.9883130081300813
20260919T131926+0800-ad2c247a,0.909853912601626,Shipping,CONTAINER_FREIGHT,Container freight / liner shipping cycle,container spot/contract freight and liner utilization,0.8677083333333333,2026-09-18,SBLK:PERSISTENT:RS20=0.113; 9101.T:PERSISTENT:RS20=0.070; 9107.T:PERSISTENT:RS20=0.042; BOAT:PULLBACK_LEADER:RS20=0.098; MATX:PULLBACK_LEADER:RS20=0.073,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 2615.TW|萬海|reaction=UNKNOWN|anomaly=0.907|gap=0.019",True,GLOBAL_THEME+TAIWAN_REVERSE,1,2615.TW|萬海|reaction=UNKNOWN|anomaly=0.907|gap=0.019,True,0.018919568112633144,0.9065040650406504
20260919T131926+0800-ad2c247a,0.9063192327235772,Foundry,MATURE_NODE_FOUNDRY_UTILIZATION,Mature-node foundry utilization / pricing,"mature and specialty node utilization, wafer pricing, customer inventory and end-demand; do not infer from leading-edge AI demand",0.7630208333333333,2026-09-18,TSM:NEUTRAL:RS20=0.046; 1347.HK:NEUTRAL:RS20=0.054; GFS:NEUTRAL:RS20=0.009; 0981.HK:WEAKENING:RS20=-0.053,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming mature/specialty-node utilization pricing or end-demand; distinguish company-specific from industry-wide.,"Search for contradictory mature-node utilization, wafer pricing, inventory and end-demand evidence; leading-edge AI strength is not confirmation; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 2303.TW|聯電|reaction=PRE_CONFIRMATION|anomaly=0.957|gap=-0.203; 5347.TWO|世界|reaction=PRE_CONFIRMATION|anomaly=0.970|gap=-0.169; 6770.TW|力積電|reaction=CONFIRMING|anomaly=0.869|gap=-0.085",True,GLOBAL_THEME+TAIWAN_REVERSE,3,2303.TW|聯電|reaction=PRE_CONFIRMATION|anomaly=0.957|gap=-0.203; 5347.TWO|世界|reaction=PRE_CONFIRMATION|anomaly=0.970|gap=-0.169; 6770.TW|力積電|reaction=CONFIRMING|anomaly=0.869|gap=-0.085,True,-0.0845251458650432,0.970020325203252
20260919T131926+0800-ad2c247a,0.889438262195122,AI_Server,AI_SERVER_RACK_BUILD,AI rack / server system buildout,rack/system/chassis buildout and product mix,0.796875,2026-09-18,DELL:PULLBACK_LEADER:RS20=0.305; HPE:NEUTRAL:RS20=0.150; SMCI:NEUTRAL:RS20=0.070,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 2357.TW|華碩|reaction=UNKNOWN|anomaly=0.947|gap=0.041; 8021.TW|尖點|reaction=PRE_CONFIRMATION|anomaly=0.963|gap=-0.082; 3605.TW|宏致|reaction=EXTENDED|anomaly=0.992|gap=-0.141",True,GLOBAL_THEME+TAIWAN_REVERSE,3,2357.TW|華碩|reaction=UNKNOWN|anomaly=0.947|gap=0.041; 8021.TW|尖點|reaction=PRE_CONFIRMATION|anomaly=0.963|gap=-0.082; 3605.TW|宏致|reaction=EXTENDED|anomaly=0.992|gap=-0.141,True,0.04136161846778289,0.9923780487804879
20260919T131926+0800-ad2c247a,0.8835706300813008,Memory,DRAM_PRICING,Commodity DRAM pricing / bit demand,"commodity DRAM ASP, bit demand, inventory; HBM must not be inferred automatically",0.7979166666666666,2026-09-18,SNDK:EMERGING:RS20=0.118; MU:EMERGING:RS20=0.041; 000660.KS:EMERGING:RS20=0.076; 005930.KS:WEAKENING:RS20=-0.070; WDC:WEAKENING:RS20=-0.060,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 2408.TW|南亞科|reaction=UNKNOWN|anomaly=0.867|gap=0.004",True,GLOBAL_THEME+TAIWAN_REVERSE,1,2408.TW|南亞科|reaction=UNKNOWN|anomaly=0.867|gap=0.004,True,0.003825405885337323,0.866869918699187
20260919T131926+0800-ad2c247a,0.8788010670731707,AI_Server,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,"AI server units, rack shipments, ODM backlog; not generic AI enthusiasm",0.796875,2026-09-18,DELL:PULLBACK_LEADER:RS20=0.305; HPE:NEUTRAL:RS20=0.150; SMCI:NEUTRAL:RS20=0.070,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 7711.TW|永擎|reaction=PERSISTENT|anomaly=0.897|gap=-0.142; 5274.TWO|信驊|reaction=PERSISTENT|anomaly=0.883|gap=-0.153",True,GLOBAL_THEME+TAIWAN_REVERSE,2,7711.TW|永擎|reaction=PERSISTENT|anomaly=0.897|gap=-0.142; 5274.TWO|信驊|reaction=PERSISTENT|anomaly=0.883|gap=-0.153,True,-0.14159849061390153,0.896849593495935
20260919T131926+0800-ad2c247a,0.8786041666666666,Memory,NAND_STORAGE_CYCLE,NAND / storage controller and module cycle,"NAND pricing, SSD/controller/module demand and inventory",0.7979166666666666,2026-09-18,SNDK:EMERGING:RS20=0.118; MU:EMERGING:RS20=0.041; 000660.KS:EMERGING:RS20=0.076; 005930.KS:WEAKENING:RS20=-0.070; WDC:WEAKENING:RS20=-0.060,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 8299.TWO|群聯|reaction=UNKNOWN|anomaly=0.896|gap=-0.018",True,GLOBAL_THEME+TAIWAN_REVERSE,1,8299.TWO|群聯|reaction=UNKNOWN|anomaly=0.896|gap=-0.018,True,-0.0183469051243024,0.8958333333333334
20260919T131926+0800-ad2c247a,0.8677083333333333,Shipping,DRY_BULK_FREIGHT,Dry-bulk freight / commodity shipping cycle,BDI/Capesize/Panamax and commodity-volume freight cycle,0.8677083333333333,2026-09-18,SBLK:PERSISTENT:RS20=0.113; 9101.T:PERSISTENT:RS20=0.070; 9107.T:PERSISTENT:RS20=0.042; BOAT:PULLBACK_LEADER:RS20=0.098; MATX:PULLBACK_LEADER:RS20=0.073,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",True,GLOBAL_THEME,0,,False,,
20260919T131926+0800-ad2c247a,0.8557135162601626,AI_Networking,AI_NETWORKING_UPGRADE,800G/1.6T AI networking upgrade,"800G/1.6T switch, optical/network bandwidth upgrade",0.7645833333333333,2026-09-18,ANET:PULLBACK_LEADER:RS20=0.084; LITE:NEUTRAL:RS20=0.057; COHR:EARLY_EMERGING:RS20=0.093; MRVL:NEUTRAL:RS20=-0.028; 5801.T:NEUTRAL:RS20=0.037,UNRESOLVED_RESEARCH_REQUIRED,,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved. For Taiwan reverse nominees, also test company-specific local catalysts such as revenue/earnings, guidance, contract/tender wins, corporate actions, index/ETF flows or squeezes. A local catalyst is an alternative explanation for the Taiwan move and must not be used to activate the global driver. Nominees: 6526.TW|達發|reaction=CONFIRMING|anomaly=0.978|gap=-0.131; 5269.TW|祥碩|reaction=PERSISTENT|anomaly=0.946|gap=-0.072; 2379.TW|瑞昱|reaction=PRE_CONFIRMATION|anomaly=0.863|gap=-0.023",True,GLOBAL_THEME+TAIWAN_REVERSE,3,6526.TW|達發|reaction=CONFIRMING|anomaly=0.978|gap=-0.131; 5269.TW|祥碩|reaction=PERSISTENT|anomaly=0.946|gap=-0.072; 2379.TW|瑞昱|reaction=PRE_CONFIRMATION|anomaly=0.863|gap=-0.023,True,-0.023117326230339935,0.978150406504065
